;Area 1;Area 2;Area 3;Area 4
Acca sellowiana;;;;21
Allophylus edulis;;;;3
Araucaria angustifolia;;9;1;102
Azara uruguayensis;1;;1;
Baccharis dentata;4;;2;1
Baccharis erioclada;;1;;
Baccharis lateralis;1;;;
Baccharis microdonta;;1;;
Baccharis oblongifolia;1;;;
Baccharis uncinella;;26;;15
Berberis laurina;2;;;22
Blepharocalyx salicifolius;1;;;
Campovassouria cruciata;;5;;
Cinnamomum amoenum;;2;;
Citronella gongonha;;;;17
Citronella paniculata;7;;;
Crinodendron brasiliense;1;;47;
Dasyphyllum spinescens;;;;1
Dicksonia sellowiana;14;;;8
Drimys angustifolia;99;27;115;
Drimys brasiliensis;;;;20
Escallonia bifida;;;;4
Eugenia uruguayensis;15;;;
Ilex microdonta;11;;9;
Ilex paraguariensis;;1;;
Lithraea brasiliensis;;;;39
Maytenus boaria;2;;1;2
Mimosa scabrella;;116;;4
Moquiniastrum polymorphum;;;;1
Myrceugenia euosma;1;3;;1
Myrceugenia glaucensces ;;;;8
Myrceugenia glaucescens;2;;9;
Myrceugenia mesomischa;20;;;1
Myrceugenia miersiana;10;;;
Myrceugenia myrcioides;42;;;
Myrceugenia oxysepala;28;;11;5
Myrceugenia regnelliana;16;;33;1
Myrcia laruotteana;;;;1
Myrcianthes pungens;;;;1
Myrrhinium atropurpureum;3;;;
Myrrhinium atropurpureum;;;;10
Myrsine coriacea;2;;;
Mysine coriacea;;;;1
Ocotea porosa;3;;;
Ocotea pulchella;5;;10;5
Oreopanax fulvum;;;;5
Persea willdenovii;2;;;
Podocarpus lambertii;;;;49
Prunus myrtifolia;32;;3;7
Quillaja brasiliensis;;;;1
Schinus lentiscifolius;;;;2
Schinus polygamus;;1;1;3
Siphoneugena reitzii;13;;64;
Solanum cassioides;1;;;
Solanum compressum;;1;;
Solanum pabstii;5;;;1
Solanum paranense;1;;;
Styrax leprosus;;;;10
Symphyopappus itatiayensis;7;1;2;
Vernonanthura discolor;1;4;;
Vernonanthura montevidensis;;;;1
Weinmannia paulliniifolia;22;;13;
